pitch_name,sector,model,run,score,math_accuracy,risk_level,capital_intensity,recommendation_length,rubric_score
LocalPulse,media,gpt-oss-120b,1,4,100.0,medium,high,32,6
LocalPulse,media,gpt-oss-120b,2,5,100.0,low,high,50,6
LocalPulse,media,gpt-oss-120b,3,4,100.0,low,high,36,6
LocalPulse,media,Kimi-K2.5,1,5,0.0,medium,medium,53,4
LocalPulse,media,Kimi-K2.5,2,5,0.0,low,low,75,4
LocalPulse,media,Kimi-K2.5,3,4,50.0,low,high,67,4
LocalPulse,media,llama3.1:8b-instruct-q3_K_M,1,5,100.0,high,high,13,5
LocalPulse,media,llama3.1:8b-instruct-q3_K_M,2,0,100.0,High,High,0,6
LocalPulse,media,llama3.1:8b-instruct-q3_K_M,3,5,100.0,High,High,17,6
SiteSense,hardware,gpt-oss-120b,1,5,100.0,medium,high,49,6
SiteSense,hardware,gpt-oss-120b,2,5,100.0,medium,high,31,6
SiteSense,hardware,gpt-oss-120b,3,6,100.0,low,high,49,6
SiteSense,hardware,Kimi-K2.5,1,3,50.0,low,high,76,4
SiteSense,hardware,Kimi-K2.5,2,4,50.0,low,high,67,4
SiteSense,hardware,Kimi-K2.5,3,4,50.0,low,high,72,4
SiteSense,hardware,llama3.1:8b-instruct-q3_K_M,1,6,100.0,high,high,16,5
SiteSense,hardware,llama3.1:8b-instruct-q3_K_M,2,2,0.0,High,High,15,4
SiteSense,hardware,llama3.1:8b-instruct-q3_K_M,3,5,100.0,high,high,21,6
MealMap,food,gpt-oss-120b,1,4,50.0,low,high,52,4
MealMap,food,gpt-oss-120b,2,6,100.0,low,high,43,6
MealMap,food,gpt-oss-120b,3,5,100.0,low,high,37,6
MealMap,food,Kimi-K2.5,1,4,50.0,medium,high,64,4
MealMap,food,Kimi-K2.5,2,4,50.0,low,high,75,4
MealMap,food,Kimi-K2.5,3,4,100.0,medium,high,63,6
MealMap,food,llama3.1:8b-instruct-q3_K_M,1,5,50.0,high,high,33,2
MealMap,food,llama3.1:8b-instruct-q3_K_M,2,4,50.0,High,Low,15,4
MealMap,food,llama3.1:8b-instruct-q3_K_M,3,5,100.0,high,high,20,6
HealthyBite,food,gpt-oss-120b,1,2,0.0,high,high,32,4
HealthyBite,food,gpt-oss-120b,2,2,0.0,high,high,29,4
HealthyBite,food,gpt-oss-120b,3,2,0.0,high,high,49,4
HealthyBite,food,Kimi-K2.5,1,1,0.0,high,high,54,4
HealthyBite,food,Kimi-K2.5,2,1,0.0,high,high,51,4
HealthyBite,food,Kimi-K2.5,3,1,0.0,high,high,57,4
HealthyBite,food,llama3.1:8b-instruct-q3_K_M,1,1,0.0,High,High,19,3
HealthyBite,food,llama3.1:8b-instruct-q3_K_M,2,1,0.0,high,high,15,3
HealthyBite,food,llama3.1:8b-instruct-q3_K_M,3,2,0.0,High,High,14,3
